method,label_ranking_authorship,label_ranking_glass,label_ranking_iris,label_ranking_letter,label_ranking_libras,label_ranking_movies,label_ranking_pendigits,label_ranking_political,label_ranking_segment,label_ranking_vehicle,label_ranking_vowel,label_ranking_wine,label_ranking_yeast,partial_label_ranking_algae,partial_label_ranking_authorship,partial_label_ranking_blocks,partial_label_ranking_breast,partial_label_ranking_ecoli,partial_label_ranking_glass,partial_label_ranking_iris,partial_label_ranking_letter,partial_label_ranking_libras,partial_label_ranking_movies,partial_label_ranking_pendigits,partial_label_ranking_political,partial_label_ranking_satimage,partial_label_ranking_segment,partial_label_ranking_vehicle,partial_label_ranking_vowel,partial_label_ranking_wine,partial_label_ranking_yeast
Chain_PI,13.944,6.398,2.977,80.041,33.872,25.325,19.393,13.150,9.306,5.110,12.268,3.341,11.556,8.331,14.029,6.868,6.351,8.635,6.531,3.014,69.422,34.024,25.073,19.055,14.848,14.951,9.305,5.172,12.272,3.416,11.773
Chain_RR,14.229,6.811,3.213,78.141,35.195,26.577,19.845,13.526,9.855,5.382,13.136,3.549,12.440,8.940,14.262,7.399,6.806,9.299,7.002,3.270,67.072,35.210,26.368,19.053,15.217,15.281,9.899,5.495,13.238,3.647,12.668
Native_PI,1.297,1.185,1.110,11.401,1.314,1.241,4.013,1.288,1.623,1.269,1.317,1.101,1.569,1.231,1.309,1.858,1.170,1.254,1.206,1.140,5.100,1.284,1.231,2.907,1.506,2.333,1.522,1.282,1.305,1.143,1.503
Native_RR,1.230,1.131,1.072,10.694,1.298,1.188,3.907,1.196,1.588,1.201,1.295,1.065,1.520,1.174,1.249,1.790,1.119,1.182,1.158,1.106,4.878,1.267,1.163,2.646,1.422,2.206,1.459,1.220,1.290,1.104,1.441
RPC,3.215,2.647,1.268,118.040,12.479,12.746,12.231,5.209,4.417,1.981,7.173,1.251,6.456,3.744,3.504,7.822,2.732,4.204,2.795,1.292,216.145,13.837,13.628,21.594,6.087,8.997,5.545,2.214,7.778,1.308,7.554
ST_PI,8.111,6.081,1.642,86.550,5.795,5.449,16.580,9.638,5.260,2.451,4.532,1.700,4.932,3.129,10.335,9.102,2.479,3.274,2.660,1.679,76.169,5.864,5.048,19.692,8.846,11.192,5.698,2.664,4.654,1.739,5.410
ST_RR,4.413,2.358,1.627,84.247,5.680,5.374,16.263,3.324,5.134,2.416,4.454,1.674,4.735,2.955,4.713,8.480,2.309,3.039,2.466,1.627,78.308,5.806,4.700,19.399,3.770,10.833,5.489,2.623,4.471,1.699,5.141
