,data,tau_x_score,prediction_time,buckets_per_rank,algo
0,authorship,-0.031372549019607836,1.9766010459832621,4.0,Chain-GBR-PI
1,authorship,-0.0634920634920635,1.9745823495031378,4.0,Chain-GBR-PI
2,authorship,-0.09920634920634921,1.9704167214149206,4.0,Chain-GBR-PI
3,authorship,-0.07936507936507937,1.9700467880004624,4.0,Chain-GBR-PI
4,authorship,-0.07142857142857142,1.969779686159411,4.0,Chain-GBR-PI
5,authorship,-0.015873015873015872,1.9695038453834688,4.0,Chain-GBR-PI
6,authorship,-0.05555555555555558,1.9667237772753836,4.0,Chain-GBR-PI
7,authorship,-0.07936507936507937,1.9698115719601108,4.0,Chain-GBR-PI
8,authorship,-0.15476190476190477,1.9688398839994783,4.0,Chain-GBR-PI
9,authorship,-0.07539682539682539,1.9697288135270783,4.0,Chain-GBR-PI
10,authorship,-0.10196078431372546,1.9686659162736524,4.0,Chain-GBR-PI
11,authorship,-0.11904761904761903,1.9681580264123004,4.0,Chain-GBR-PI
12,authorship,-0.055555555555555546,1.9668289549407534,4.0,Chain-GBR-PI
13,authorship,-0.123015873015873,1.9704570523298517,4.0,Chain-GBR-PI
14,authorship,0.043650793650793655,1.9734120621239482,4.0,Chain-GBR-PI
15,authorship,-0.03968253968253967,1.9714747649977644,4.0,Chain-GBR-PI
16,authorship,-0.07936507936507937,1.9767137547220035,4.0,Chain-GBR-PI
17,authorship,-0.06746031746031747,1.9741989377978415,4.0,Chain-GBR-PI
18,authorship,-0.047619047619047616,1.9719496476519927,4.0,Chain-GBR-PI
19,authorship,-0.16269841269841268,1.9716460105585734,4.0,Chain-GBR-PI
20,authorship,-0.0823529411764706,1.968254947378633,4.0,Chain-GBR-PI
21,authorship,-0.03174603174603173,1.9683539732811421,4.0,Chain-GBR-PI
22,authorship,-0.03571428571428571,1.9708096143567966,4.0,Chain-GBR-PI
23,authorship,-0.027777777777777783,1.968303778863076,4.0,Chain-GBR-PI
24,authorship,-0.15079365079365079,1.9697868353785744,4.0,Chain-GBR-PI
25,authorship,-0.11507936507936505,1.9700028149413662,4.0,Chain-GBR-PI
26,authorship,-0.059523809523809534,1.9722615840417714,4.0,Chain-GBR-PI
27,authorship,-0.05952380952380952,1.969389641494963,4.0,Chain-GBR-PI
28,authorship,-0.13888888888888887,1.9678151613147319,4.0,Chain-GBR-PI
29,authorship,-0.06349206349206349,1.9681921557803228,4.0,Chain-GBR-PI
30,authorship,-0.0823529411764706,1.9688792943718463,4.0,Chain-GBR-PI
31,authorship,-0.0476190476190476,1.9694093103931436,4.0,Chain-GBR-PI
32,authorship,-0.019841269841269844,1.9710534046630421,4.0,Chain-GBR-PI
33,authorship,-0.055555555555555566,1.9716622002639992,4.0,Chain-GBR-PI
34,authorship,-0.1071428571428571,1.967926737514644,4.0,Chain-GBR-PI
35,authorship,-0.13888888888888887,1.968239319046211,4.0,Chain-GBR-PI
36,authorship,-0.0753968253968254,1.9701999436255848,4.0,Chain-GBR-PI
37,authorship,-0.10714285714285712,1.9758101915645285,4.0,Chain-GBR-PI
38,authorship,-0.04365079365079365,1.9711230984093118,4.0,Chain-GBR-PI
39,authorship,-0.05952380952380952,1.9710377847578817,4.0,Chain-GBR-PI
40,authorship,-0.09803921568627452,1.9673729809126554,4.0,Chain-GBR-PI
41,authorship,-0.07142857142857142,1.9706649539694037,4.0,Chain-GBR-PI
42,authorship,-0.08730158730158731,1.967739035291462,4.0,Chain-GBR-PI
43,authorship,-0.047619047619047616,1.9700869262275738,4.0,Chain-GBR-PI
44,authorship,-0.10317460317460313,1.969151631540951,4.0,Chain-GBR-PI
45,authorship,-0.0634920634920635,1.9698038717237154,4.0,Chain-GBR-PI
46,authorship,-0.043650793650793655,1.9690619276691366,4.0,Chain-GBR-PI
47,authorship,-1.32169407693471e-18,1.9676263822290647,4.0,Chain-GBR-PI
48,authorship,-0.08333333333333333,1.972702223884125,4.0,Chain-GBR-PI
49,authorship,-0.13888888888888887,1.9753908866239454,4.0,Chain-GBR-PI
50,glass,0.44848484848484843,0.7854771824067853,6.0,Chain-GBR-PI
51,glass,0.43636363636363634,0.7830040261254855,6.0,Chain-GBR-PI
