method,authorship,glass,iris,letter,libras,movies,pendigits,political,segment,vehicle,vowel,wine,yeast
Chain_PI,14.216,6.562,3.170,80.616,34.355,25.355,20.982,13.094,9.855,5.217,12.293,3.477,11.753
Chain_RR,14.534,6.992,3.358,81.526,35.523,26.656,21.242,13.489,10.542,5.510,13.234,3.691,12.681
Native_PI,1.364,1.206,1.173,6.791,1.295,1.229,3.575,1.254,1.653,1.288,1.299,1.162,1.482
Native_RR,1.302,1.152,1.128,9.230,1.293,1.193,3.504,1.172,1.593,1.240,1.288,1.111,1.458
RPC,3.078,2.556,1.229,102.931,12.206,12.310,10.406,4.857,3.999,1.850,6.944,1.232,6.224
ST_PI,7.561,5.619,1.647,40.275,4.340,4.654,9.815,3.136,3.179,2.054,3.326,1.640,4.315
ST_RR,6.867,1.931,1.336,55.010,7.936,4.215,24.623,2.651,8.835,2.803,3.879,1.445,4.150
