method,algae,authorship,blocks,breast,ecoli,glass,iris,letter,libras,movies,pendigits,political,satimage,segment,vehicle,vowel,wine,yeast
Chain_PI,8.272,14.083,7.821,6.402,8.710,6.535,3.163,75.930,33.949,25.002,20.469,14.735,15.744,9.729,5.185,12.216,3.453,11.585
Chain_RR,9.044,14.489,8.439,6.959,9.529,7.117,3.424,75.897,35.768,26.746,21.218,15.173,16.451,10.688,5.608,13.425,3.742,12.831
Native_PI,1.211,1.327,1.986,1.156,1.228,1.191,1.154,4.524,1.265,1.213,2.782,1.497,2.321,1.549,1.273,1.261,1.152,1.390
Native_RR,1.165,1.270,1.856,1.111,1.173,1.140,1.117,5.019,1.275,1.153,2.680,1.449,2.244,1.495,1.234,1.252,1.120,1.387
RPC,3.285,2.956,3.268,2.626,3.998,2.648,1.256,103.668,11.945,11.953,11.275,5.205,4.360,3.913,1.784,6.775,1.244,6.107
ST_PI,2.453,7.375,7.577,2.215,2.790,2.200,1.603,26.130,4.142,3.829,6.916,2.846,3.959,2.990,2.015,3.214,1.637,3.478
ST_RR,2.325,5.984,10.083,1.915,2.379,1.974,1.347,38.395,6.237,3.704,19.719,2.952,17.780,6.402,2.424,3.429,1.397,3.804
