,data,tau_x_score,prediction_time,buckets_per_rank,algo,percentage
0,authorship,0.43333333333333335,1.4279965658640044,1.9529411764705882,ST-GBR-EPSI(0.2),0.6
1,authorship,0.43055555555555564,0.9915745892574463,1.8928571428571428,ST-GBR-EPSI(0.2),0.6
2,authorship,0.375,0.6531716688693199,1.7738095238095237,ST-GBR-EPSI(0.2),0.6
3,authorship,0.39285714285714285,0.6106155004117475,1.8095238095238095,ST-GBR-EPSI(0.2),0.6
4,authorship,0.3492063492063492,0.6583314711775403,1.6547619047619047,ST-GBR-EPSI(0.2),0.6
5,authorship,0.4087301587301588,0.6885341819703484,1.7976190476190477,ST-GBR-EPSI(0.2),0.6
6,authorship,0.38888888888888884,0.6205924604509729,1.7857142857142858,ST-GBR-EPSI(0.2),0.6
7,authorship,0.3551587301587302,0.6195809734313061,1.7380952380952381,ST-GBR-EPSI(0.2),0.6
8,authorship,0.3789682539682539,0.6344216658282992,1.7738095238095237,ST-GBR-EPSI(0.2),0.6
9,authorship,0.3591269841269841,0.6188225222301325,1.7380952380952381,ST-GBR-EPSI(0.2),0.6
10,authorship,0.3411764705882353,0.6097677711910916,1.7058823529411764,ST-GBR-EPSI(0.2),0.6
11,authorship,0.32142857142857145,0.6601082591100824,1.6428571428571428,ST-GBR-EPSI(0.2),0.6
12,authorship,0.4265873015873015,0.6294895652304491,1.869047619047619,ST-GBR-EPSI(0.2),0.6
13,authorship,0.376984126984127,0.619576790904854,1.7738095238095237,ST-GBR-EPSI(0.2),0.6
14,authorship,0.371031746031746,0.6347918648064681,1.7142857142857142,ST-GBR-EPSI(0.2),0.6
15,authorship,0.39880952380952384,0.6229048226194276,1.8333333333333333,ST-GBR-EPSI(0.2),0.6
16,authorship,0.503968253968254,0.6212793937231759,2.0595238095238093,ST-GBR-EPSI(0.2),0.6
17,authorship,0.3492063492063492,0.6283265931417638,1.7142857142857142,ST-GBR-EPSI(0.2),0.6
18,authorship,0.34325396825396826,0.6583817466723908,1.6785714285714286,ST-GBR-EPSI(0.2),0.6
19,authorship,0.35317460317460314,0.6303037220346506,1.7142857142857142,ST-GBR-EPSI(0.2),0.6
20,authorship,0.3725490196078431,0.617268503055277,1.7647058823529411,ST-GBR-EPSI(0.2),0.6
21,authorship,0.3869047619047619,0.6139137611478228,1.8095238095238095,ST-GBR-EPSI(0.2),0.6
22,authorship,0.4027777777777778,0.6247861514959607,1.8333333333333333,ST-GBR-EPSI(0.2),0.6
23,authorship,0.371031746031746,0.6209168954585402,1.869047619047619,ST-GBR-EPSI(0.2),0.6
24,authorship,0.40476190476190477,0.6418347820282958,1.8571428571428572,ST-GBR-EPSI(0.2),0.6
25,authorship,0.4523809523809524,0.6142384968800039,1.9166666666666667,ST-GBR-EPSI(0.2),0.6
26,authorship,0.4107142857142857,0.6200037097729793,1.8452380952380953,ST-GBR-EPSI(0.2),0.6
27,authorship,0.4226190476190476,0.6420076270462075,1.869047619047619,ST-GBR-EPSI(0.2),0.6
28,authorship,0.4146825396825397,0.618684672991495,1.8333333333333333,ST-GBR-EPSI(0.2),0.6
29,authorship,0.3214285714285714,0.6334569425262021,1.7380952380952381,ST-GBR-EPSI(0.2),0.6
30,authorship,0.34313725490196073,0.6187465516208638,1.7294117647058824,ST-GBR-EPSI(0.2),0.6
31,authorship,0.38888888888888895,0.6359831914256937,1.8214285714285714,ST-GBR-EPSI(0.2),0.6
32,authorship,0.382936507936508,0.6300187999102481,1.7857142857142858,ST-GBR-EPSI(0.2),0.6
33,authorship,0.376984126984127,0.6119273036512847,1.7261904761904763,ST-GBR-EPSI(0.2),0.6
34,authorship,0.37896825396825395,0.6223419380927808,1.7976190476190477,ST-GBR-EPSI(0.2),0.6
35,authorship,0.43253968253968256,0.6185651644736979,1.9047619047619047,ST-GBR-EPSI(0.2),0.6
36,authorship,0.3412698412698413,0.6222584535732693,1.6785714285714286,ST-GBR-EPSI(0.2),0.6
37,authorship,0.373015873015873,0.6179527272499465,1.7738095238095237,ST-GBR-EPSI(0.2),0.6
38,authorship,0.44246031746031744,0.6291414237280825,1.8928571428571428,ST-GBR-EPSI(0.2),0.6
39,authorship,0.4623015873015873,0.6201221815043327,1.9047619047619047,ST-GBR-EPSI(0.2),0.6
40,authorship,0.3352941176470588,0.6218445415352085,1.7411764705882353,ST-GBR-EPSI(0.2),0.6
41,authorship,0.43452380952380953,0.6291129478945001,1.9047619047619047,ST-GBR-EPSI(0.2),0.6
42,authorship,0.4146825396825397,0.6474393611580946,1.8333333333333333,ST-GBR-EPSI(0.2),0.6
43,authorship,0.3333333333333333,0.6198453468813518,1.7142857142857142,ST-GBR-EPSI(0.2),0.6
44,authorship,0.44246031746031744,0.6209537645248698,1.8571428571428572,ST-GBR-EPSI(0.2),0.6
45,authorship,0.376984126984127,0.6223544029022765,1.7619047619047619,ST-GBR-EPSI(0.2),0.6
46,authorship,0.378968253968254,0.6197202391982622,1.7976190476190477,ST-GBR-EPSI(0.2),0.6
47,authorship,0.4146825396825397,0.6923539070907294,1.8214285714285714,ST-GBR-EPSI(0.2),0.6
48,authorship,0.4047619047619048,0.621866694037282,1.8095238095238095,ST-GBR-EPSI(0.2),0.6
49,authorship,0.3412698412698412,0.6160971529686704,1.6904761904761905,ST-GBR-EPSI(0.2),0.6
50,glass,0.0393939393939394,0.37458371237602867,1.0909090909090908,ST-GBR-EPSI(0.2),0.6
51,glass,0.0393939393939394,0.3574851871135949,1.0909090909090908,ST-GBR-EPSI(0.2),0.6
