method,algae,authorship,blocks,breast,ecoli,glass,iris,letter,libras,movies,pendigits,political,satimage,segment,vehicle,vowel,wine,yeast
Chain_PI,8.391,14.089,8.001,6.478,8.851,6.637,3.200,75.384,34.146,25.252,20.549,14.763,15.922,9.851,5.254,12.457,3.518,11.784
Chain_RR,8.948,14.471,8.457,6.918,9.464,7.071,3.414,74.575,35.666,26.568,21.067,15.202,16.409,10.608,5.567,13.379,3.716,12.712
Native_PI,1.228,1.344,1.991,1.164,1.243,1.202,1.173,4.428,1.279,1.238,2.746,1.489,2.356,1.559,1.299,1.285,1.179,1.419
Native_RR,1.166,1.293,1.905,1.121,1.176,1.147,1.127,5.159,1.274,1.159,2.750,1.452,2.291,1.505,1.245,1.263,1.125,1.394
RPC,3.370,3.055,3.937,2.555,4.035,2.642,1.235,119.701,12.422,12.273,12.823,5.305,5.018,4.189,1.858,6.972,1.256,6.383
ST_PI,3.013,7.454,7.217,2.345,2.850,2.232,1.644,30.695,4.439,3.972,12.263,2.925,5.381,3.332,2.158,3.686,1.663,4.053
ST_RR,2.434,6.691,11.906,1.903,2.460,1.994,1.367,43.089,6.849,3.792,23.029,2.983,21.272,7.344,2.613,3.601,1.479,4.029
