,data,tau_x_score,prediction_time,buckets_per_rank,algo,sigma-factor
52,PLR-BLOCKS,0.8851919561243146,1.2881164586324592,2.6892138939670933,Chain-RFR-PI,2.0
53,PLR-BLOCKS,0.8961608775137112,1.2747955110515563,2.6453382084095063,Chain-RFR-PI,2.0
54,PLR-BLOCKS,0.8848263254113345,1.299536642808918,2.705667276051188,Chain-RFR-PI,2.0
55,PLR-BLOCKS,0.8819012797074954,1.2749199249358785,2.6745886654478976,Chain-RFR-PI,2.0
56,PLR-BLOCKS,0.8897623400365631,1.2701992745237205,2.656307129798903,Chain-RFR-PI,2.0
57,PLR-BLOCKS,0.8956124314442413,1.274373928248023,2.6544789762340035,Chain-RFR-PI,2.0
58,PLR-BLOCKS,0.8824497257769652,1.2725731554610522,2.63436928702011,Chain-RFR-PI,2.0
59,PLR-BLOCKS,0.8848263254113345,1.2782270216981246,2.648994515539305,Chain-RFR-PI,2.0
60,PLR-BLOCKS,0.8967153284671533,1.2936665022335534,2.653284671532847,Chain-RFR-PI,2.0
61,PLR-BLOCKS,0.8841240875912408,1.2899661049820388,2.6952554744525545,Chain-RFR-PI,2.0
62,PLR-BLOCKS,0.8950639853747714,1.2849354236694988,2.647166361974406,Chain-RFR-PI,2.0
63,PLR-BLOCKS,0.8912248628884827,1.2767469318542544,2.6617915904936016,Chain-RFR-PI,2.0
64,PLR-BLOCKS,0.8892138939670933,1.272140933230381,2.6252285191956126,Chain-RFR-PI,2.0
65,PLR-BLOCKS,0.8952468007312614,1.306560105007745,2.606946983546618,Chain-RFR-PI,2.0
66,PLR-BLOCKS,0.8844606946983545,1.2845636831242762,2.670932358318099,Chain-RFR-PI,2.0
67,PLR-BLOCKS,0.8731261425959781,1.291671698226436,2.6782449725776964,Chain-RFR-PI,2.0
68,PLR-BLOCKS,0.8674588665447899,1.270234738148663,2.7477148080438756,Chain-RFR-PI,2.0
