method,authorship,glass,iris,letter,libras,movies,pendigits,political,segment,vehicle,vowel,wine,yeast
Chain_PI,13.944,6.398,2.977,80.041,33.872,25.325,19.393,13.150,9.306,5.110,12.268,3.341,11.556
Chain_RR,14.229,6.811,3.213,78.141,35.195,26.577,19.845,13.526,9.855,5.382,13.136,3.549,12.440
Native_PI,1.297,1.185,1.110,11.401,1.314,1.241,4.013,1.288,1.623,1.269,1.317,1.101,1.569
Native_RR,1.230,1.131,1.072,10.694,1.298,1.188,3.907,1.196,1.588,1.201,1.295,1.065,1.520
RPC,3.215,2.647,1.268,118.040,12.479,12.746,12.231,5.209,4.417,1.981,7.173,1.251,6.456
ST_PI,8.111,6.081,1.642,86.550,5.795,5.449,16.580,9.638,5.260,2.451,4.532,1.700,4.932
ST_RR,4.413,2.358,1.627,84.247,5.680,5.374,16.263,3.324,5.134,2.416,4.454,1.674,4.735
