method,label_ranking_authorship,label_ranking_glass,label_ranking_iris,label_ranking_letter,label_ranking_libras,label_ranking_movies,label_ranking_pendigits,label_ranking_political,label_ranking_segment,label_ranking_vehicle,label_ranking_vowel,label_ranking_wine,label_ranking_yeast,partial_label_ranking_algae,partial_label_ranking_authorship,partial_label_ranking_blocks,partial_label_ranking_breast,partial_label_ranking_ecoli,partial_label_ranking_glass,partial_label_ranking_iris,partial_label_ranking_letter,partial_label_ranking_libras,partial_label_ranking_movies,partial_label_ranking_pendigits,partial_label_ranking_political,partial_label_ranking_satimage,partial_label_ranking_segment,partial_label_ranking_vehicle,partial_label_ranking_vowel,partial_label_ranking_wine,partial_label_ranking_yeast
Chain_PI,14.304,6.687,3.239,80.269,34.613,25.624,21.101,13.115,9.979,5.312,12.529,3.551,11.943,8.320,14.100,8.011,6.418,8.780,6.593,3.197,74.933,34.115,25.168,20.459,14.792,15.935,9.808,5.231,12.390,3.492,11.693
Chain_RR,14.364,7.002,3.375,81.118,35.447,26.497,21.158,13.489,10.523,5.514,13.257,3.686,12.663,8.918,14.482,8.434,6.882,9.429,7.035,3.397,74.089,35.283,26.423,20.908,15.215,16.332,10.526,5.539,13.356,3.701,12.685
Native_PI,1.344,1.194,1.161,5.993,1.281,1.224,3.372,1.254,1.617,1.284,1.289,1.146,1.455,1.225,1.361,2.001,1.173,1.247,1.207,1.174,4.411,1.282,1.235,2.786,1.501,2.374,1.563,1.302,1.288,1.181,1.433
Native_RR,1.296,1.149,1.122,8.852,1.286,1.180,3.432,1.174,1.575,1.234,1.283,1.111,1.445,1.169,1.296,1.896,1.118,1.174,1.144,1.120,5.073,1.270,1.160,2.755,1.442,2.292,1.521,1.241,1.260,1.129,1.401
RPC,3.009,2.629,1.226,94.168,12.012,12.158,9.747,4.807,3.850,1.814,6.753,1.236,6.165,3.401,3.139,4.667,2.525,3.979,2.651,1.214,139.496,12.512,12.265,14.327,5.303,5.689,4.438,1.929,6.991,1.268,6.612
ST_PI,10.211,2.616,1.612,36.366,4.909,4.025,7.984,2.704,3.731,2.044,3.265,1.630,4.077,3.071,7.605,7.084,2.135,2.883,2.302,1.654,34.683,4.687,4.047,13.557,2.891,5.952,3.703,2.113,3.413,1.688,3.710
ST_RR,6.319,1.930,1.343,49.566,7.231,4.116,22.134,2.635,7.988,2.648,3.785,1.471,4.012,2.521,7.335,13.635,1.906,2.531,2.068,1.347,49.065,7.590,3.901,26.459,3.035,24.930,8.237,2.839,3.799,1.485,4.232
