method,label_ranking_authorship,label_ranking_glass,label_ranking_iris,label_ranking_letter,label_ranking_libras,label_ranking_movies,label_ranking_pendigits,label_ranking_political,label_ranking_segment,label_ranking_vehicle,label_ranking_vowel,label_ranking_wine,label_ranking_yeast,partial_label_ranking_algae,partial_label_ranking_authorship,partial_label_ranking_blocks,partial_label_ranking_breast,partial_label_ranking_ecoli,partial_label_ranking_glass,partial_label_ranking_iris,partial_label_ranking_letter,partial_label_ranking_libras,partial_label_ranking_movies,partial_label_ranking_pendigits,partial_label_ranking_political,partial_label_ranking_satimage,partial_label_ranking_segment,partial_label_ranking_vehicle,partial_label_ranking_vowel,partial_label_ranking_wine,partial_label_ranking_yeast
Chain_PI,13.997,6.565,3.182,74.872,33.950,25.130,20.411,13.105,9.763,5.194,12.232,3.476,11.668,8.272,14.083,7.821,6.402,8.710,6.535,3.163,75.930,33.949,25.002,20.469,14.735,15.744,9.729,5.185,12.216,3.453,11.585
Chain_RR,14.300,7.015,3.379,76.261,35.312,26.499,20.822,13.466,10.493,5.506,13.162,3.672,12.619,9.044,14.489,8.439,6.959,9.529,7.117,3.424,75.897,35.768,26.746,21.218,15.173,16.451,10.688,5.608,13.425,3.742,12.831
Native_PI,1.332,1.193,1.162,5.127,1.267,1.226,3.074,1.259,1.587,1.282,1.284,1.151,1.425,1.211,1.327,1.986,1.156,1.228,1.191,1.154,4.524,1.265,1.213,2.782,1.497,2.321,1.549,1.273,1.261,1.152,1.390
Native_RR,1.282,1.150,1.122,7.932,1.277,1.186,3.189,1.174,1.548,1.231,1.279,1.115,1.421,1.165,1.270,1.856,1.111,1.173,1.140,1.117,5.019,1.275,1.153,2.680,1.449,2.244,1.495,1.234,1.252,1.120,1.387
RPC,2.911,2.683,1.230,79.422,11.835,12.034,8.688,4.765,3.672,1.762,6.704,1.240,5.942,3.285,2.956,3.268,2.626,3.998,2.648,1.256,103.668,11.945,11.953,11.275,5.205,4.360,3.913,1.784,6.775,1.244,6.107
ST_PI,9.793,2.742,1.605,29.410,4.174,3.943,6.973,2.563,2.998,2.005,3.221,1.614,3.362,2.453,7.375,7.577,2.215,2.790,2.200,1.603,26.130,4.142,3.829,6.916,2.846,3.959,2.990,2.015,3.214,1.637,3.478
ST_RR,5.334,1.828,1.325,38.983,6.044,3.975,17.205,2.650,6.201,2.280,3.480,1.414,3.725,2.325,5.984,10.083,1.915,2.379,1.974,1.347,38.395,6.237,3.704,19.719,2.952,17.780,6.402,2.424,3.429,1.397,3.804
