method,algae,authorship,blocks,breast,ecoli,glass,iris,letter,libras,movies,pendigits,political,satimage,segment,vehicle,vowel,wine,yeast
Chain_PI,8.320,14.100,8.011,6.418,8.780,6.593,3.197,74.933,34.115,25.168,20.459,14.792,15.935,9.808,5.231,12.390,3.492,11.693
Chain_RR,8.918,14.482,8.434,6.882,9.429,7.035,3.397,74.089,35.283,26.423,20.908,15.215,16.332,10.526,5.539,13.356,3.701,12.685
Native_PI,1.225,1.361,2.001,1.173,1.247,1.207,1.174,4.411,1.282,1.235,2.786,1.501,2.374,1.563,1.302,1.288,1.181,1.433
Native_RR,1.169,1.296,1.896,1.118,1.174,1.144,1.120,5.073,1.270,1.160,2.755,1.442,2.292,1.521,1.241,1.260,1.129,1.401
RPC,3.401,3.139,4.667,2.525,3.979,2.651,1.214,139.496,12.512,12.265,14.327,5.303,5.689,4.438,1.929,6.991,1.268,6.612
ST_PI,3.071,7.605,7.084,2.135,2.883,2.302,1.654,34.683,4.687,4.047,13.557,2.891,5.952,3.703,2.113,3.413,1.688,3.710
ST_RR,2.521,7.335,13.635,1.906,2.531,2.068,1.347,49.065,7.590,3.901,26.459,3.035,24.930,8.237,2.839,3.799,1.485,4.232
