caseid,linksrechts_parteien_1,linksrechts_parteien_2,linksrechts_parteien_3,linksrechts_parteien_4,linksrechts_parteien_5,linksrechts_parteien_6,linksrechts_selbst,erststimme_BTW21,zweitstimme_BTW21,coalition_1,coalition_2,coalition_3,coalition_4,coalition_5,coalition_6,coalition_7,coalition_8,coalition_9,klimawandel_parteien_1,klimawandel_parteien_2,klimawandel_parteien_3,klimawandel_parteien_4,klimawandel_parteien_5,klimawandel_parteien_6,klimawandel_parteien_7,klimawandel_selbst,immigration_parteien_1,immigration_parteien_2,immigration_parteien_3,immigration_parteien_4,immigration_parteien_5,immigration_parteien_6,immigration_parteien_7,immigration_selbst,corona_parteien,kandidateneinstufungen_1,kandidateneinstufungen_2,kandidateneinstufungen_3,kandidateneinstufungen_4,kandidateneinstufungen_5,kandidateneinstufungen_6,education_paul_recode,age,WestOst,hinc,Pos. of LINKE in Ranking,Pos. of GRUENE in Ranking,Pos. of SPD in Ranking,Pos. of CDU/CSU in Ranking,Pos. of FDP in Ranking,Pos. of AFD in Ranking
88.0,6,6,6,6,5,1,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,1,1,1,1,1,4,3,5,5,5,3,5,1,4,7,3,4,5,3,5,2,5,7,4,3,-3,5,0,-2,2,-2,3,57.0,WEST,2,3,2,1,4,4,5
89.0,6,6,5,6,5,3,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,5,4,3,3,1,1,3,4,3,7,7,7,7,1,7,4,7,3,3,3,3,4,3,7,1,-2,-5,5,-5,4,-5,1,3,42.0,WEST,3,3,4,1,2,3,5
92.0,6,6,5,8,5,977,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,3,977,4,977,977,977,977,977,3,977,977,977,977,977,977,977,2,977,977,977,977,977,977,977,5,-3,0,4,1,1,0,-5,3,60.0,WEST,2,3,2,1,3,3,3
100.0,7,6,5,6,5,2,5,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,SPD,4,2,4,3,1,1,3,3,5,6,7,2,7,1,3,7,1,2,6,1,4,1,4,7,1,4,-2,3,4,-3,2,-1,6,42.0,WEST,977,4,2,1,3,4,5
102.0,977,977,977,977,977,977,977,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,3,2,2,2,1,1,2,4,4,977,977,977,977,2,977,977,977,977,977,977,977,977,977,7,4,0,-5,2,0,-3,2,-1,3,49.0,WEST,4,2,2,1,3,3,3
103.0,10,10,3,11,5,2,3,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,1,1,1,1,1,4,5,5,7,7,2,7,2,2,7,1,7,7,1,5,2,1,7,2,3,-5,5,4,-4,4,-5,6,68.0,WEST,8,3,2,1,4,4,4
112.0,977,977,977,977,977,977,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,3,1,1,1,1,1,3,3,3,977,977,977,977,977,977,977,4,977,977,977,977,977,977,977,4,0,977,0,977,977,977,977,2,61.0,WEST,977,2,3,1,3,3,3
113.0,5,5,5,5,5,1,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,4,4,4,1,1,4,3,4,4,4,4,4,4,4,977,7,3,3,1,1,1,3,7,4,-1,1,5,5,5,5,5,5,67.0,OST,3,1,1,1,1,1,2
116.0,6,5,4,6,5,4,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,3,2,2,1,1,5,4,5,5,4,2,3,1,2,7,3,4,4,4,4,4,4,7,5,-1,-1,5,2,3,4,2,3,79.0,WEST,2,2,3,1,5,4,5
120.0,8,8,4,6,6,3,3,DIE KANDIDATIN BZW. DEN KANDIDATEN VON DIE LINKE,SPD,1,1,1,1,1,1,3,5,4,6,5,4,4,2,3,977,4,4,4,3,5,1,1,7,4,-3,-5,5,-5,2,-5,-3,4,58.0,OST,977,1,3,2,3,3,3
130.0,8,8,3,9,4,1,3,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,2,2,2,1,1,2,5,5,5,5,3,5,2,3,977,2,4,5,2,4,3,4,7,2,0,-1,4,2,-1,2,-1,3,75.0,WEST,977,3,2,1,3,3,3
139.0,10,9,4,10,6,1,3,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,2,2,2,1,1,5,4,5,7,7,5,3,5,4,6,3,2,7,5,4,6,5,7,5,1,-5,5,3,2,5,1,6,69.0,WEST,9,3,2,1,5,4,5
148.0,977,977,5,977,977,977,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,3,3,3,3,2,3,1,2,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,-5,-5,5,-5,-5,0,-5,2,77.0,WEST,5,2,2,1,2,2,1
151.0,7,8,6,977,6,3,7,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,3,1,1,2,1,1,3,3,4,977,977,977,977,2,977,977,3,977,977,977,977,977,977,7,5,3,0,2,-1,0,977,-3,2,60.0,WEST,6,3,2,1,3,3,3
154.0,977,977,977,977,977,977,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,3,3,2,3,1,1,4,3,3,977,1,7,7,7,7,977,7,977,977,977,977,977,977,977,7,-5,0,5,0,3,2,3,3,72.0,WEST,977,1,2,1,2,1,2
159.0,7,8,4,8,4,1,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,2,3,3,1,1,5,2,4,5,5,4,5,3,3,4,3,6,6,5,3,3,4,7,4,-2,-5,2,0,-2,0,-2,2,82.0,WEST,5,4,2,1,3,3,4
161.0,6,6,4,6,6,3,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,2,2,2,1,1,4,3,4,6,6,5,5,3,5,977,3,4,4,4,4,4,977,6,4,3,0,3,1,1,1,0,2,77.0,WEST,2,3,1,1,3,2,3
168.0,8,8,3,5,3,1,3,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,1,1,1,1,1,4,2,5,5,5,4,5,3,1,7,4,5,5,3,4,2,1,7,3,-2,-3,5,3,0,4,3,5,81.0,WEST,8,4,2,1,4,3,4
181.0,9,9,4,6,4,2,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER FDP,SPD,1,2,2,1,1,1,5,4,3,7,7,4,7,2,7,7,5,7,7,3,7,4,4,7,4,0,-5,4,2,-4,4,2,6,72.0,WEST,6,4,1,3,4,2,4
