method,authorship,glass,iris,letter,libras,movies,pendigits,political,segment,vehicle,vowel,wine,yeast
Chain_PI,13.997,6.565,3.182,74.872,33.950,25.130,20.411,13.105,9.763,5.194,12.232,3.476,11.668
Chain_RR,14.300,7.015,3.379,76.261,35.312,26.499,20.822,13.466,10.493,5.506,13.162,3.672,12.619
Native_PI,1.332,1.193,1.162,5.127,1.267,1.226,3.074,1.259,1.587,1.282,1.284,1.151,1.425
Native_RR,1.282,1.150,1.122,7.932,1.277,1.186,3.189,1.174,1.548,1.231,1.279,1.115,1.421
RPC,2.911,2.683,1.230,79.422,11.835,12.034,8.688,4.765,3.672,1.762,6.704,1.240,5.942
ST_PI,9.793,2.742,1.605,29.410,4.174,3.943,6.973,2.563,2.998,2.005,3.221,1.614,3.362
ST_RR,5.334,1.828,1.325,38.983,6.044,3.975,17.205,2.650,6.201,2.280,3.480,1.414,3.725
