method,label_ranking_authorship,label_ranking_glass,label_ranking_iris,label_ranking_letter,label_ranking_libras,label_ranking_movies,label_ranking_pendigits,label_ranking_political,label_ranking_segment,label_ranking_vehicle,label_ranking_vowel,label_ranking_wine,label_ranking_yeast,partial_label_ranking_algae,partial_label_ranking_authorship,partial_label_ranking_blocks,partial_label_ranking_breast,partial_label_ranking_ecoli,partial_label_ranking_glass,partial_label_ranking_iris,partial_label_ranking_letter,partial_label_ranking_libras,partial_label_ranking_movies,partial_label_ranking_pendigits,partial_label_ranking_political,partial_label_ranking_satimage,partial_label_ranking_segment,partial_label_ranking_vehicle,partial_label_ranking_vowel,partial_label_ranking_wine,partial_label_ranking_yeast
Chain_PI,14.241,6.558,3.164,81.552,34.374,25.476,20.921,13.164,9.840,5.225,12.357,3.492,11.854,8.349,14.120,7.886,6.466,8.805,6.604,3.160,73.664,34.114,25.157,20.212,14.830,15.871,9.755,5.239,12.315,3.481,11.778
Chain_RR,14.411,6.892,3.324,80.941,35.267,26.467,20.987,13.523,10.440,5.453,13.097,3.649,12.586,8.915,14.524,8.290,6.883,9.394,7.019,3.349,72.016,35.418,26.391,20.389,15.176,16.209,10.426,5.523,13.211,3.687,12.647
Native_PI,1.365,1.202,1.159,8.267,1.305,1.234,3.875,1.258,1.682,1.284,1.320,1.151,1.529,1.238,1.383,2.057,1.181,1.260,1.214,1.180,4.711,1.294,1.233,2.935,1.509,2.501,1.600,1.304,1.297,1.157,1.465
Native_RR,1.301,1.155,1.131,9.696,1.314,1.196,3.667,1.181,1.615,1.227,1.312,1.114,1.482,1.168,1.304,1.911,1.116,1.178,1.148,1.117,5.077,1.270,1.160,2.775,1.458,2.343,1.522,1.241,1.267,1.121,1.413
RPC,3.142,2.636,1.208,110.516,12.393,12.731,11.281,5.150,4.198,1.950,7.088,1.260,6.404,3.589,3.353,6.599,2.610,4.126,2.687,1.267,193.137,13.225,13.125,18.974,5.855,7.838,5.154,2.088,7.449,1.322,7.135
ST_PI,7.559,5.287,1.629,44.394,4.906,4.125,13.851,8.670,3.830,2.085,3.788,1.895,4.446,2.580,8.075,7.517,2.220,2.827,2.212,1.623,42.800,5.310,3.958,14.803,8.136,5.206,3.265,2.106,3.707,1.665,4.143
ST_RR,7.376,1.961,1.379,59.731,8.520,4.355,27.459,3.301,9.665,2.960,4.086,1.474,4.312,2.709,8.587,17.076,1.975,2.633,2.148,1.361,58.079,9.193,4.082,33.201,3.745,32.022,10.415,3.256,4.178,1.543,4.667
