method,algae,authorship,blocks,breast,ecoli,glass,iris,letter,libras,movies,pendigits,political,satimage,segment,vehicle,vowel,wine,yeast
Chain_PI,8.318,13.852,7.641,6.426,8.788,6.582,3.168,76.290,33.998,24.961,20.681,14.695,15.557,9.719,5.217,12.212,3.475,11.693
Chain_RR,9.056,14.392,8.231,6.984,9.585,7.160,3.418,75.837,35.882,26.660,21.189,15.099,16.217,10.699,5.629,13.437,3.759,12.886
Native_PI,1.218,1.322,1.975,1.157,1.234,1.192,1.154,4.778,1.290,1.225,2.922,1.500,2.335,1.549,1.280,1.272,1.153,1.395
Native_RR,1.160,1.256,1.828,1.118,1.175,1.144,1.117,4.933,1.277,1.153,2.627,1.432,2.169,1.486,1.218,1.260,1.112,1.366
RPC,3.248,2.932,2.806,2.568,3.951,2.601,1.209,92.831,11.745,11.796,10.071,5.183,3.919,3.689,1.769,6.704,1.244,5.950
ST_PI,2.446,7.478,7.069,2.229,2.792,2.199,1.621,23.256,4.093,3.828,6.565,2.833,3.823,3.027,2.029,3.191,1.628,3.468
ST_RR,2.240,5.443,8.286,1.855,2.421,1.934,1.349,32.855,5.524,3.647,16.412,2.935,14.566,5.443,2.235,3.300,1.386,3.615
