,data,tau_x_score,prediction_time,buckets_per_rank,algo,sigma-factor
0,LR-AUTHORSHIP,0.8705882352941177,3.7496607906582744,3.952941176470589,Chain-RFR-PI,1
1,LR-AUTHORSHIP,0.9186507936507936,3.72177282111632,3.9642857142857144,Chain-RFR-PI,1
2,LR-AUTHORSHIP,0.9027777777777776,3.729148778608871,3.9642857142857144,Chain-RFR-PI,1
3,LR-AUTHORSHIP,0.9365079365079364,3.7311018210443097,3.976190476190476,Chain-RFR-PI,1
4,LR-AUTHORSHIP,0.906746031746032,3.737542721093624,3.988095238095238,Chain-RFR-PI,1
5,LR-AUTHORSHIP,0.9365079365079364,3.759745258258876,3.976190476190476,Chain-RFR-PI,1
6,LR-AUTHORSHIP,0.9186507936507936,3.726856026599388,3.988095238095238,Chain-RFR-PI,1
7,LR-AUTHORSHIP,0.9246031746031744,3.731933995263027,3.952380952380953,Chain-RFR-PI,1
8,LR-AUTHORSHIP,0.9365079365079364,3.7233684639047127,3.976190476190476,Chain-RFR-PI,1
9,LR-AUTHORSHIP,0.9226190476190476,3.732427487440278,3.988095238095238,Chain-RFR-PI,1
10,LR-AUTHORSHIP,0.931372549019608,3.767605303637849,3.9647058823529417,Chain-RFR-PI,1
11,LR-AUTHORSHIP,0.9384920634920636,3.7391427661965446,3.988095238095238,Chain-RFR-PI,1
12,LR-AUTHORSHIP,0.8968253968253967,3.727164724156925,3.976190476190476,Chain-RFR-PI,1
13,LR-AUTHORSHIP,0.9206349206349208,3.737211988100221,3.976190476190476,Chain-RFR-PI,1
14,LR-AUTHORSHIP,0.9246031746031746,3.7374480540871913,3.952380952380953,Chain-RFR-PI,1
15,LR-AUTHORSHIP,0.8888888888888887,3.75752569918023,3.9047619047619047,Chain-RFR-PI,1
16,LR-AUTHORSHIP,0.9265873015873016,3.7238105905107575,3.9642857142857144,Chain-RFR-PI,1
17,LR-AUTHORSHIP,0.9107142857142856,3.731393367362928,3.952380952380953,Chain-RFR-PI,1
