method,authorship,glass,iris,letter,libras,movies,pendigits,political,segment,vehicle,vowel,wine,yeast
Chain_PI,14.120,6.581,3.184,76.887,34.139,25.355,20.704,13.130,9.810,5.229,12.303,3.486,11.744
Chain_RR,14.257,7.022,3.380,78.049,35.250,26.498,21.094,13.505,10.533,5.532,13.269,3.690,12.733
Native_PI,1.344,1.207,1.170,5.495,1.279,1.237,3.215,1.243,1.614,1.285,1.296,1.165,1.453
Native_RR,1.283,1.150,1.121,8.424,1.281,1.180,3.337,1.188,1.564,1.232,1.277,1.114,1.434
RPC,2.919,2.602,1.277,84.873,11.776,12.090,9.149,4.790,3.755,1.803,6.695,1.237,5.943
ST_PI,9.696,2.482,1.605,33.799,4.201,3.977,7.276,2.546,3.059,2.019,3.206,1.600,3.395
ST_RR,5.862,1.889,1.323,46.083,6.647,4.119,19.721,2.657,7.175,2.503,3.570,1.448,3.883
