method,algae,authorship,blocks,breast,ecoli,glass,iris,letter,libras,movies,pendigits,political,satimage,segment,vehicle,vowel,wine,yeast
Chain_PI,8.349,14.120,7.886,6.466,8.805,6.604,3.160,73.664,34.114,25.157,20.212,14.830,15.871,9.755,5.239,12.315,3.481,11.778
Chain_RR,8.915,14.524,8.290,6.883,9.394,7.019,3.349,72.016,35.418,26.391,20.389,15.176,16.209,10.426,5.523,13.211,3.687,12.647
Native_PI,1.238,1.383,2.057,1.181,1.260,1.214,1.180,4.711,1.294,1.233,2.935,1.509,2.501,1.600,1.304,1.297,1.157,1.465
Native_RR,1.168,1.304,1.911,1.116,1.178,1.148,1.117,5.077,1.270,1.160,2.775,1.458,2.343,1.522,1.241,1.267,1.121,1.413
RPC,3.589,3.353,6.599,2.610,4.126,2.687,1.267,193.137,13.225,13.125,18.974,5.855,7.838,5.154,2.088,7.449,1.322,7.135
ST_PI,2.580,8.075,7.517,2.220,2.827,2.212,1.623,42.800,5.310,3.958,14.803,8.136,5.206,3.265,2.106,3.707,1.665,4.143
ST_RR,2.709,8.587,17.076,1.975,2.633,2.148,1.361,58.079,9.193,4.082,33.201,3.745,32.022,10.415,3.256,4.178,1.543,4.667
