,data,tau_x_score,prediction_time,buckets_per_rank,algo
0,authorship,0.6627450980392157,2.075965018466407,4.0,ST-GBR-PI
1,authorship,0.623015873015873,1.6828705636461025,4.0,ST-GBR-PI
2,authorship,0.6111111111111112,1.4859403715841735,4.0,ST-GBR-PI
3,authorship,0.6071428571428572,0.8741693577351497,4.0,ST-GBR-PI
4,authorship,0.617063492063492,0.8667869998911745,4.0,ST-GBR-PI
5,authorship,0.5515873015873015,0.8622342610949817,4.0,ST-GBR-PI
6,authorship,0.5615079365079364,0.8583187619892192,4.0,ST-GBR-PI
7,authorship,0.6170634920634922,0.8813640474079152,4.0,ST-GBR-PI
8,authorship,0.6130952380952381,0.8728200186505211,4.0,ST-GBR-PI
9,authorship,0.5853174603174602,0.8850195675011145,4.0,ST-GBR-PI
10,authorship,0.6274509803921569,0.8682245770069029,4.0,ST-GBR-PI
11,authorship,0.6468253968253969,0.8563300555958027,4.0,ST-GBR-PI
12,authorship,0.6111111111111113,0.9076640419854171,4.0,ST-GBR-PI
13,authorship,0.6011904761904762,0.8615842557868918,4.0,ST-GBR-PI
14,authorship,0.5952380952380951,0.8760189615735264,4.0,ST-GBR-PI
15,authorship,0.5416666666666666,0.8625333128947366,4.0,ST-GBR-PI
16,authorship,0.6071428571428571,0.8634699178656597,4.0,ST-GBR-PI
17,authorship,0.5912698412698412,0.8737529805034343,4.0,ST-GBR-PI
18,authorship,0.6329365079365079,0.8630764434300473,4.0,ST-GBR-PI
19,authorship,0.6190476190476191,0.8636014919380881,4.0,ST-GBR-PI
20,authorship,0.6294117647058823,0.8743626148209988,4.0,ST-GBR-PI
21,authorship,0.5952380952380953,0.8628678891090855,4.0,ST-GBR-PI
22,authorship,0.6309523809523808,0.8505946301531796,4.0,ST-GBR-PI
23,authorship,0.6388888888888888,0.8602027767120511,4.0,ST-GBR-PI
24,authorship,0.6091269841269841,0.8895587293607127,4.0,ST-GBR-PI
25,authorship,0.5793650793650794,0.87304838351625,4.0,ST-GBR-PI
26,authorship,0.6369047619047619,0.8576795229186159,4.0,ST-GBR-PI
27,authorship,0.632936507936508,0.8619619231795871,4.0,ST-GBR-PI
28,authorship,0.5674603174603174,0.8619682622640713,4.0,ST-GBR-PI
29,authorship,0.6130952380952381,0.8739696819141579,4.0,ST-GBR-PI
30,authorship,0.5666666666666668,0.8625424012593359,4.0,ST-GBR-PI
31,authorship,0.6051587301587301,0.8635353490089703,4.0,ST-GBR-PI
32,authorship,0.6269841269841271,0.864890826620903,4.0,ST-GBR-PI
33,authorship,0.626984126984127,0.8546713338797144,4.0,ST-GBR-PI
34,authorship,0.6111111111111113,0.8643533171671253,4.0,ST-GBR-PI
35,authorship,0.6031746031746031,0.8644700185850532,4.0,ST-GBR-PI
36,authorship,0.6408730158730159,0.9924216668776193,4.0,ST-GBR-PI
37,authorship,0.636904761904762,0.9926948493931221,4.0,ST-GBR-PI
38,authorship,0.6071428571428571,0.8638834429392442,4.0,ST-GBR-PI
39,authorship,0.6130952380952381,0.9923383541064463,4.0,ST-GBR-PI
40,authorship,0.5882352941176471,0.9885964909772601,4.0,ST-GBR-PI
41,authorship,0.5932539682539683,0.8650810632491719,4.0,ST-GBR-PI
42,authorship,0.6051587301587302,0.8712766948639676,4.0,ST-GBR-PI
43,authorship,0.628968253968254,0.8535964392074245,4.0,ST-GBR-PI
