method,authorship,glass,iris,letter,libras,movies,pendigits,political,segment,vehicle,vowel,wine,yeast
Chain_PI,14.304,6.687,3.239,80.269,34.613,25.624,21.101,13.115,9.979,5.312,12.529,3.551,11.943
Chain_RR,14.364,7.002,3.375,81.118,35.447,26.497,21.158,13.489,10.523,5.514,13.257,3.686,12.663
Native_PI,1.344,1.194,1.161,5.993,1.281,1.224,3.372,1.254,1.617,1.284,1.289,1.146,1.455
Native_RR,1.296,1.149,1.122,8.852,1.286,1.180,3.432,1.174,1.575,1.234,1.283,1.111,1.445
RPC,3.009,2.629,1.226,94.168,12.012,12.158,9.747,4.807,3.850,1.814,6.753,1.236,6.165
ST_PI,10.211,2.616,1.612,36.366,4.909,4.025,7.984,2.704,3.731,2.044,3.265,1.630,4.077
ST_RR,6.319,1.930,1.343,49.566,7.231,4.116,22.134,2.635,7.988,2.648,3.785,1.471,4.012
