method,label_ranking_authorship,label_ranking_glass,label_ranking_iris,label_ranking_letter,label_ranking_libras,label_ranking_movies,label_ranking_pendigits,label_ranking_political,label_ranking_segment,label_ranking_vehicle,label_ranking_vowel,label_ranking_wine,label_ranking_yeast,partial_label_ranking_algae,partial_label_ranking_authorship,partial_label_ranking_blocks,partial_label_ranking_breast,partial_label_ranking_ecoli,partial_label_ranking_glass,partial_label_ranking_iris,partial_label_ranking_letter,partial_label_ranking_libras,partial_label_ranking_movies,partial_label_ranking_pendigits,partial_label_ranking_political,partial_label_ranking_satimage,partial_label_ranking_segment,partial_label_ranking_vehicle,partial_label_ranking_vowel,partial_label_ranking_wine,partial_label_ranking_yeast
Chain_PI,14.066,6.620,3.178,74.405,34.301,25.337,20.347,13.094,9.751,5.226,12.310,3.506,11.765,8.318,13.852,7.641,6.426,8.788,6.582,3.168,76.290,33.998,24.961,20.681,14.695,15.557,9.719,5.217,12.212,3.475,11.693
Chain_RR,14.180,6.986,3.357,74.428,35.285,26.396,20.525,13.449,10.386,5.482,13.101,3.669,12.591,9.056,14.392,8.231,6.984,9.585,7.160,3.418,75.837,35.882,26.660,21.189,15.099,16.217,10.699,5.629,13.437,3.759,12.886
Native_PI,1.336,1.206,1.178,5.014,1.281,1.238,3.045,1.245,1.582,1.296,1.289,1.168,1.425,1.218,1.322,1.975,1.157,1.234,1.192,1.154,4.778,1.290,1.225,2.922,1.500,2.335,1.549,1.280,1.272,1.153,1.395
Native_RR,1.260,1.141,1.122,7.427,1.278,1.179,3.056,1.174,1.519,1.224,1.262,1.112,1.401,1.160,1.256,1.828,1.118,1.175,1.144,1.117,4.933,1.277,1.153,2.627,1.432,2.169,1.486,1.218,1.260,1.112,1.366
RPC,2.965,2.653,1.222,74.272,11.536,11.773,8.132,4.730,3.488,1.727,6.533,1.210,5.784,3.248,2.932,2.806,2.568,3.951,2.601,1.209,92.831,11.745,11.796,10.071,5.183,3.919,3.689,1.769,6.704,1.244,5.950
ST_PI,7.389,5.461,1.598,26.307,4.046,3.922,6.682,2.525,3.030,1.988,3.193,1.598,3.324,2.446,7.478,7.069,2.229,2.792,2.199,1.621,23.256,4.093,3.828,6.565,2.833,3.823,3.027,2.029,3.191,1.628,3.468
ST_RR,4.881,1.836,1.327,33.917,5.411,3.847,14.638,2.666,5.414,2.136,3.339,1.367,3.589,2.240,5.443,8.286,1.855,2.421,1.934,1.349,32.855,5.524,3.647,16.412,2.935,14.566,5.443,2.235,3.300,1.386,3.615
