method,algae,authorship,blocks,breast,ecoli,glass,iris,letter,libras,movies,pendigits,political,satimage,segment,vehicle,vowel,wine,yeast
Chain_PI,8.331,14.029,6.868,6.351,8.635,6.531,3.014,69.422,34.024,25.073,19.055,14.848,14.951,9.305,5.172,12.272,3.416,11.773
Chain_RR,8.940,14.262,7.399,6.806,9.299,7.002,3.270,67.072,35.210,26.368,19.053,15.217,15.281,9.899,5.495,13.238,3.647,12.668
Native_PI,1.231,1.309,1.858,1.170,1.254,1.206,1.140,5.100,1.284,1.231,2.907,1.506,2.333,1.522,1.282,1.305,1.143,1.503
Native_RR,1.174,1.249,1.790,1.119,1.182,1.158,1.106,4.878,1.267,1.163,2.646,1.422,2.206,1.459,1.220,1.290,1.104,1.441
RPC,3.744,3.504,7.822,2.732,4.204,2.795,1.292,216.145,13.837,13.628,21.594,6.087,8.997,5.545,2.214,7.778,1.308,7.554
ST_PI,3.129,10.335,9.102,2.479,3.274,2.660,1.679,76.169,5.864,5.048,19.692,8.846,11.192,5.698,2.664,4.654,1.739,5.410
ST_RR,2.955,4.713,8.480,2.309,3.039,2.466,1.627,78.308,5.806,4.700,19.399,3.770,10.833,5.489,2.623,4.471,1.699,5.141
