,data,tau_x_score,prediction_time,buckets_per_rank,algo,sigma-factor,Algorithm
31,PLR-AUTHORSHIP,0.75,3.734574927886706,3.9642857142857144,Chain-RFR-PI,0,Chain-RFR-PI
32,PLR-AUTHORSHIP,0.7797619047619045,3.764765029852461,3.9642857142857144,Chain-RFR-PI,0,Chain-RFR-PI
33,PLR-AUTHORSHIP,0.7876984126984128,3.7319597413423424,3.9642857142857144,Chain-RFR-PI,0,Chain-RFR-PI
34,PLR-AUTHORSHIP,0.8075396825396823,3.7415543307561334,3.988095238095238,Chain-RFR-PI,0,Chain-RFR-PI
35,PLR-AUTHORSHIP,0.763888888888889,3.732973603576651,3.9642857142857144,Chain-RFR-PI,0,Chain-RFR-PI
36,PLR-AUTHORSHIP,0.7718253968253967,3.7318234214656982,4.0,Chain-RFR-PI,0,Chain-RFR-PI
37,PLR-AUTHORSHIP,0.8214285714285713,3.7646278485396274,3.988095238095238,Chain-RFR-PI,0,Chain-RFR-PI
38,PLR-AUTHORSHIP,0.7301587301587302,3.7336566860117184,4.0,Chain-RFR-PI,0,Chain-RFR-PI
39,PLR-AUTHORSHIP,0.7857142857142857,3.734962314133843,3.9642857142857144,Chain-RFR-PI,0,Chain-RFR-PI
40,PLR-AUTHORSHIP,0.7549019607843138,3.737492473838569,3.988235294117647,Chain-RFR-PI,0,Chain-RFR-PI
41,PLR-AUTHORSHIP,0.746031746031746,3.767492542792886,3.988095238095238,Chain-RFR-PI,0,Chain-RFR-PI
42,PLR-AUTHORSHIP,0.7738095238095238,3.7319893936076367,3.988095238095238,Chain-RFR-PI,0,Chain-RFR-PI
43,PLR-AUTHORSHIP,0.7837301587301585,3.737857845611584,4.0,Chain-RFR-PI,0,Chain-RFR-PI
44,PLR-AUTHORSHIP,0.7658730158730158,3.7431920465025583,4.0,Chain-RFR-PI,0,Chain-RFR-PI
45,PLR-AUTHORSHIP,0.7797619047619048,3.732243086134639,3.988095238095238,Chain-RFR-PI,0,Chain-RFR-PI
46,PLR-AUTHORSHIP,0.755952380952381,3.7505925646489335,4.0,Chain-RFR-PI,0,Chain-RFR-PI
47,PLR-AUTHORSHIP,0.742063492063492,3.7226501448564746,3.988095238095238,Chain-RFR-PI,0,Chain-RFR-PI
48,PLR-AUTHORSHIP,0.8015873015873015,3.718352208304111,4.0,Chain-RFR-PI,0,Chain-RFR-PI
49,PLR-AUTHORSHIP,0.7916666666666665,3.7272609561177776,3.988095238095238,Chain-RFR-PI,0,Chain-RFR-PI
50,PLR-BLOCKS,0.831934306569343,2.649144939409702,3.0255474452554743,Chain-RFR-PI,0,Chain-RFR-PI
51,PLR-BLOCKS,0.8489051094890512,2.61612829769493,2.897810218978102,Chain-RFR-PI,0,Chain-RFR-PI
52,PLR-BLOCKS,0.836745886654479,2.6094559216434523,2.9616087751371114,Chain-RFR-PI,0,Chain-RFR-PI
53,PLR-BLOCKS,0.8513711151736747,2.611049067712067,2.926873857404022,Chain-RFR-PI,0,Chain-RFR-PI
54,PLR-BLOCKS,0.8351005484460695,2.6485279607736856,3.025594149908592,Chain-RFR-PI,0,Chain-RFR-PI
55,PLR-BLOCKS,0.840585009140768,2.609430132998399,2.939670932358318,Chain-RFR-PI,0,Chain-RFR-PI
56,PLR-BLOCKS,0.8486288848263255,2.611252194446172,2.9049360146252283,Chain-RFR-PI,0,Chain-RFR-PI
57,PLR-BLOCKS,0.843327239488117,2.656091543226624,2.954296160877514,Chain-RFR-PI,0,Chain-RFR-PI
58,PLR-BLOCKS,0.8352833638025595,2.607272531784931,2.926873857404022,Chain-RFR-PI,0,Chain-RFR-PI
59,PLR-BLOCKS,0.8464351005484461,2.6130491063123813,2.915904936014625,Chain-RFR-PI,0,Chain-RFR-PI
60,PLR-BLOCKS,0.8474452554744526,2.618381519947002,2.947080291970803,Chain-RFR-PI,0,Chain-RFR-PI
61,PLR-BLOCKS,0.8286496350364964,2.6442299419679833,3.0036496350364965,Chain-RFR-PI,0,Chain-RFR-PI
62,PLR-BLOCKS,0.8484460694698355,2.616583051041961,2.9140767824497256,Chain-RFR-PI,0,Chain-RFR-PI
63,PLR-BLOCKS,0.8414990859232175,2.6066637581399,2.974405850091408,Chain-RFR-PI,0,Chain-RFR-PI
64,PLR-BLOCKS,0.8422303473491773,2.608222843623592,2.9085923217550276,Chain-RFR-PI,0,Chain-RFR-PI
65,PLR-BLOCKS,0.8449725776965265,2.609010814274223,2.890310786106033,Chain-RFR-PI,0,Chain-RFR-PI
66,PLR-BLOCKS,0.8318098720292505,2.646861523011708,2.979890310786106,Chain-RFR-PI,0,Chain-RFR-PI
