method,authorship,glass,iris,letter,libras,movies,pendigits,political,segment,vehicle,vowel,wine,yeast
Chain_PI,14.241,6.558,3.164,81.552,34.374,25.476,20.921,13.164,9.840,5.225,12.357,3.492,11.854
Chain_RR,14.411,6.892,3.324,80.941,35.267,26.467,20.987,13.523,10.440,5.453,13.097,3.649,12.586
Native_PI,1.365,1.202,1.159,8.267,1.305,1.234,3.875,1.258,1.682,1.284,1.320,1.151,1.529
Native_RR,1.301,1.155,1.131,9.696,1.314,1.196,3.667,1.181,1.615,1.227,1.312,1.114,1.482
RPC,3.142,2.636,1.208,110.516,12.393,12.731,11.281,5.150,4.198,1.950,7.088,1.260,6.404
ST_PI,7.559,5.287,1.629,44.394,4.906,4.125,13.851,8.670,3.830,2.085,3.788,1.895,4.446
ST_RR,7.376,1.961,1.379,59.731,8.520,4.355,27.459,3.301,9.665,2.960,4.086,1.474,4.312
