,data,tau_x_score,prediction_time,buckets_per_rank,algo,sigma-factor,percentage
0,LR-AUTHORSHIP,0.8725490196078431,1.4262399139025983,3.929411764705882,Chain-RFR-PI,2.0,
1,LR-AUTHORSHIP,0.9166666666666666,1.4016794508927788,3.9047619047619047,Chain-RFR-PI,2.0,
2,LR-AUTHORSHIP,0.9047619047619048,1.3959652749522784,3.928571428571429,Chain-RFR-PI,2.0,
3,LR-AUTHORSHIP,0.9384920634920636,1.4041951171485598,3.9642857142857144,Chain-RFR-PI,2.0,
4,LR-AUTHORSHIP,0.9047619047619048,1.4014101404824708,3.952380952380953,Chain-RFR-PI,2.0,
5,LR-AUTHORSHIP,0.9345238095238096,1.396238114411582,3.9404761904761902,Chain-RFR-PI,2.0,
6,LR-AUTHORSHIP,0.9206349206349208,1.4014863103153283,3.952380952380953,Chain-RFR-PI,2.0,
7,LR-AUTHORSHIP,0.9265873015873016,1.3998756666439112,3.9404761904761902,Chain-RFR-PI,2.0,
8,LR-AUTHORSHIP,0.9384920634920636,1.413012964207207,3.952380952380953,Chain-RFR-PI,2.0,
9,LR-AUTHORSHIP,0.9246031746031746,1.401700913918992,3.952380952380953,Chain-RFR-PI,2.0,
10,LR-AUTHORSHIP,0.93921568627451,1.4073925291057012,3.9176470588235297,Chain-RFR-PI,2.0,
11,LR-AUTHORSHIP,0.9345238095238096,1.3999340259524788,3.952380952380953,Chain-RFR-PI,2.0,
12,LR-AUTHORSHIP,0.9007936507936508,1.4075864829443154,3.952380952380953,Chain-RFR-PI,2.0,
13,LR-AUTHORSHIP,0.9186507936507936,1.3947512440767256,3.9642857142857144,Chain-RFR-PI,2.0,
14,LR-AUTHORSHIP,0.9206349206349208,1.3927291897525662,3.9047619047619047,Chain-RFR-PI,2.0,
15,LR-AUTHORSHIP,0.8849206349206349,1.3973171017990231,3.880952380952381,Chain-RFR-PI,2.0,
16,LR-AUTHORSHIP,0.9305555555555556,1.4012223168000353,3.9047619047619047,Chain-RFR-PI,2.0,
17,LR-AUTHORSHIP,0.9087301587301588,1.41139294172006,3.9404761904761902,Chain-RFR-PI,2.0,
18,LR-AUTHORSHIP,0.9444444444444444,1.3954444919105793,3.952380952380953,Chain-RFR-PI,2.0,
19,LR-AUTHORSHIP,0.9424603174603172,1.3909748721701003,3.988095238095238,Chain-RFR-PI,2.0,
20,LR-AUTHORSHIP,0.9431372549019608,1.4023125624774933,3.9647058823529417,Chain-RFR-PI,2.0,
21,LR-AUTHORSHIP,0.8948412698412699,1.4010575734182231,3.928571428571429,Chain-RFR-PI,2.0,
22,LR-AUTHORSHIP,0.9226190476190476,1.407502742495303,3.988095238095238,Chain-RFR-PI,2.0,
23,LR-AUTHORSHIP,0.906746031746032,1.3966670619572383,3.9642857142857144,Chain-RFR-PI,2.0,
24,LR-AUTHORSHIP,0.9047619047619048,1.393830940971141,3.928571428571429,Chain-RFR-PI,2.0,
25,LR-AUTHORSHIP,0.9484126984126984,1.390727893901718,3.976190476190476,Chain-RFR-PI,2.0,
