,data,tau_x_score,prediction_time,buckets_per_rank,algo,sigma-factor,percentage
39,LR-AUTHORSHIP,0.9484126984126984,1.3953925658936754,4.0,Chain-RFR-PI,0.0,
40,LR-AUTHORSHIP,0.9137254901960784,1.3875266022242323,3.976470588235294,Chain-RFR-PI,0.0,
41,LR-AUTHORSHIP,0.9285714285714286,1.3859255377396764,4.0,Chain-RFR-PI,0.0,
42,LR-AUTHORSHIP,0.9087301587301588,1.3899498591336532,4.0,Chain-RFR-PI,0.0,
43,LR-AUTHORSHIP,0.9325396825396828,1.392423507819711,4.0,Chain-RFR-PI,0.0,
44,LR-AUTHORSHIP,0.9087301587301588,1.3825452494622283,4.0,Chain-RFR-PI,0.0,
45,LR-AUTHORSHIP,0.9126984126984128,1.3877061137759557,4.0,Chain-RFR-PI,0.0,
46,LR-AUTHORSHIP,0.9444444444444444,1.389458468240315,4.0,Chain-RFR-PI,0.0,
47,LR-AUTHORSHIP,0.896825396825397,1.377865193680555,4.0,Chain-RFR-PI,0.0,
48,LR-AUTHORSHIP,0.896825396825397,1.385262467190143,4.0,Chain-RFR-PI,0.0,
49,LR-AUTHORSHIP,0.9265873015873016,1.382770109250893,3.988095238095238,Chain-RFR-PI,0.0,
50,LR-GLASS,0.9272727272727272,1.1545983371068924,6.0,Chain-RFR-PI,0.0,
51,LR-GLASS,0.8848484848484851,1.1652950086061558,6.0,Chain-RFR-PI,0.0,
52,LR-GLASS,0.896969696969697,1.1415996750350177,6.0,Chain-RFR-PI,0.0,
53,LR-GLASS,0.8666666666666668,1.1516801665133367,6.0,Chain-RFR-PI,0.0,
54,LR-GLASS,0.8857142857142858,1.1527135910143458,6.0,Chain-RFR-PI,0.0,
55,LR-GLASS,0.9047619047619048,1.1853005737261424,6.0,Chain-RFR-PI,0.0,
56,LR-GLASS,0.765079365079365,1.1578183626610157,6.0,Chain-RFR-PI,0.0,
57,LR-GLASS,0.961904761904762,1.1634580189580102,6.0,Chain-RFR-PI,0.0,
58,LR-GLASS,0.9301587301587302,1.1588495480565033,6.0,Chain-RFR-PI,0.0,
59,LR-GLASS,0.8349206349206348,1.1593361484230231,6.0,Chain-RFR-PI,0.0,
60,LR-GLASS,0.8363636363636364,1.15452299892495,6.0,Chain-RFR-PI,0.0,
61,LR-GLASS,0.896969696969697,1.1556720576985668,6.0,Chain-RFR-PI,0.0,
62,LR-GLASS,0.9090909090909092,1.1554671501602538,6.0,Chain-RFR-PI,0.0,
63,LR-GLASS,0.9151515151515152,1.1522024882339237,5.909090909090909,Chain-RFR-PI,0.0,
64,LR-GLASS,0.9428571428571432,1.1684572850118282,6.0,Chain-RFR-PI,0.0,
65,LR-GLASS,0.9238095238095236,1.1605292590194876,6.0,Chain-RFR-PI,0.0,
66,LR-GLASS,0.8476190476190478,1.1499315062751014,6.0,Chain-RFR-PI,0.0,
67,LR-GLASS,0.8793650793650792,1.1569794271244815,6.0,Chain-RFR-PI,0.0,
68,LR-GLASS,0.8984126984126984,1.1623768278306896,6.0,Chain-RFR-PI,0.0,
69,LR-GLASS,0.834920634920635,1.1624140497328244,6.0,Chain-RFR-PI,0.0,
70,LR-GLASS,0.8363636363636363,1.1527082661773107,6.0,Chain-RFR-PI,0.0,
71,LR-GLASS,0.8787878787878788,1.1529225528372855,6.0,Chain-RFR-PI,0.0,
72,LR-GLASS,0.9272727272727272,1.1505294389796477,6.0,Chain-RFR-PI,0.0,
73,LR-GLASS,0.9636363636363636,1.154747250299749,6.0,Chain-RFR-PI,0.0,
74,LR-GLASS,0.8476190476190475,1.1591223421952526,6.0,Chain-RFR-PI,0.0,
75,LR-GLASS,0.9174603174603174,1.176189079597508,6.0,Chain-RFR-PI,0.0,
76,LR-GLASS,0.9111111111111112,1.1539875029836002,6.0,Chain-RFR-PI,0.0,
77,LR-GLASS,0.8126984126984125,1.1645170316864,5.9523809523809526,Chain-RFR-PI,0.0,
78,LR-GLASS,0.9301587301587302,1.1484308364246665,6.0,Chain-RFR-PI,0.0,
79,LR-GLASS,0.9047619047619048,1.1720123655554644,6.0,Chain-RFR-PI,0.0,
80,LR-GLASS,0.8727272727272729,1.1611504183453916,6.0,Chain-RFR-PI,0.0,
81,LR-GLASS,0.9272727272727274,1.1641437818964295,6.0,Chain-RFR-PI,0.0,
82,LR-GLASS,0.8848484848484849,1.1526098577510544,6.0,Chain-RFR-PI,0.0,
83,LR-GLASS,0.9030303030303032,1.157072847655798,6.0,Chain-RFR-PI,0.0,
84,LR-GLASS,0.9301587301587302,1.16372434453619,6.0,Chain-RFR-PI,0.0,
85,LR-GLASS,0.9111111111111112,1.1475008757722374,6.0,Chain-RFR-PI,0.0,
86,LR-GLASS,0.8666666666666668,1.1594383687055216,6.0,Chain-RFR-PI,0.0,
87,LR-GLASS,0.8857142857142858,1.1665901371367489,6.0,Chain-RFR-PI,0.0,
88,LR-GLASS,0.9047619047619048,1.1712207870460785,6.0,Chain-RFR-PI,0.0,
89,LR-GLASS,0.8476190476190475,1.1773371590051398,6.0,Chain-RFR-PI,0.0,
90,LR-GLASS,0.8060606060606063,1.1852105846394194,6.0,Chain-RFR-PI,0.0,
91,LR-GLASS,0.8727272727272729,1.1755624594089225,6.0,Chain-RFR-PI,0.0,
92,LR-GLASS,0.9212121212121211,1.1723687526506887,6.0,Chain-RFR-PI,0.0,
93,LR-GLASS,0.9151515151515152,1.1754276166213842,6.0,Chain-RFR-PI,0.0,
94,LR-GLASS,0.9238095238095236,1.175928131324097,6.0,Chain-RFR-PI,0.0,
95,LR-GLASS,0.8984126984126984,1.1950777815232074,6.0,Chain-RFR-PI,0.0,
96,LR-GLASS,0.8857142857142856,1.1762722167961843,6.0,Chain-RFR-PI,0.0,
97,LR-GLASS,0.926984126984127,1.1597049059757558,5.9523809523809526,Chain-RFR-PI,0.0,
98,LR-GLASS,0.8412698412698413,1.165830285751354,6.0,Chain-RFR-PI,0.0,
99,LR-GLASS,0.9047619047619048,1.1718991150957658,6.0,Chain-RFR-PI,0.0,
100,LR-IRIS,0.8666666666666667,0.829825522751973,3.0,Chain-RFR-PI,0.0,
101,LR-IRIS,0.9555555555555556,0.8179991325817612,3.0,Chain-RFR-PI,0.0,
102,LR-IRIS,0.9555555555555556,0.826682007242263,3.0,Chain-RFR-PI,0.0,
103,LR-IRIS,1.0,0.8233663947754226,3.0,Chain-RFR-PI,0.0,
104,LR-IRIS,0.9111111111111112,0.8157064446473618,3.0,Chain-RFR-PI,0.0,
105,LR-IRIS,1.0,0.8219578742161651,3.0,Chain-RFR-PI,0.0,
106,LR-IRIS,0.9555555555555556,0.8036516471595275,3.0,Chain-RFR-PI,0.0,
107,LR-IRIS,1.0,0.8242616931803953,3.0,Chain-RFR-PI,0.0,
108,LR-IRIS,0.9555555555555556,0.8194784573578027,3.0,Chain-RFR-PI,0.0,
109,LR-IRIS,1.0,0.824473443385968,3.0,Chain-RFR-PI,0.0,
110,LR-IRIS,0.9555555555555556,0.8126937695046015,3.0,Chain-RFR-PI,0.0,
111,LR-IRIS,1.0,0.816535282148103,3.0,Chain-RFR-PI,0.0,
112,LR-IRIS,0.9111111111111112,0.8377613048970702,3.0,Chain-RFR-PI,0.0,
113,LR-IRIS,0.9555555555555556,0.8223706859864083,3.0,Chain-RFR-PI,0.0,
114,LR-IRIS,0.9111111111111112,0.8227021873190589,3.0,Chain-RFR-PI,0.0,
115,LR-IRIS,1.0,0.8174432493754661,3.0,Chain-RFR-PI,0.0,
116,LR-IRIS,0.9555555555555556,0.8224037748375481,3.0,Chain-RFR-PI,0.0,
117,LR-IRIS,1.0,0.8169948739423273,3.0,Chain-RFR-PI,0.0,
118,LR-IRIS,0.9111111111111112,0.8281828487857008,3.0,Chain-RFR-PI,0.0,
119,LR-IRIS,0.9555555555555556,0.8247637867525397,3.0,Chain-RFR-PI,0.0,
120,LR-IRIS,0.9555555555555556,0.8317613967199667,3.0,Chain-RFR-PI,0.0,
121,LR-IRIS,0.9555555555555556,0.8241097025858692,3.0,Chain-RFR-PI,0.0,
122,LR-IRIS,0.9555555555555556,0.8157296940860592,3.0,Chain-RFR-PI,0.0,
123,LR-IRIS,0.9555555555555556,0.8240640283737866,3.0,Chain-RFR-PI,0.0,
124,LR-IRIS,1.0,0.8144821213573632,3.0,Chain-RFR-PI,0.0,
125,LR-IRIS,0.9555555555555556,0.8258478527471498,3.0,Chain-RFR-PI,0.0,
126,LR-IRIS,0.9555555555555556,0.8185847176720934,3.0,Chain-RFR-PI,0.0,
127,LR-IRIS,0.8666666666666667,0.8236794607167663,3.0,Chain-RFR-PI,0.0,
128,LR-IRIS,1.0,0.8206839739318524,3.0,Chain-RFR-PI,0.0,
129,LR-IRIS,1.0,0.819343435289543,3.0,Chain-RFR-PI,0.0,
130,LR-IRIS,0.9555555555555556,0.8247129038922917,3.0,Chain-RFR-PI,0.0,
131,LR-IRIS,0.9555555555555556,0.8266900133778565,3.0,Chain-RFR-PI,0.0,
132,LR-IRIS,0.9111111111111112,0.8508575915262401,3.0,Chain-RFR-PI,0.0,
