,data,tau_x_score,prediction_time,buckets_per_rank,algo,sigma-factor,percentage
0,LR-AUTHORSHIP,0.8666666666666667,1.5263879831633962,3.905882352941176,Chain-RFR-PI,3.0,
1,LR-AUTHORSHIP,0.9107142857142856,1.4964537868968293,3.8452380952380953,Chain-RFR-PI,3.0,
2,LR-AUTHORSHIP,0.9027777777777776,1.483246605123778,3.9166666666666665,Chain-RFR-PI,3.0,
3,LR-AUTHORSHIP,0.9325396825396828,1.4515548939590313,3.9047619047619047,Chain-RFR-PI,3.0,
4,LR-AUTHORSHIP,0.906746031746032,1.4625416998147769,3.9404761904761902,Chain-RFR-PI,3.0,
5,LR-AUTHORSHIP,0.9345238095238096,1.4576343642897636,3.9404761904761902,Chain-RFR-PI,3.0,
6,LR-AUTHORSHIP,0.9206349206349206,1.4457630843736655,3.9047619047619047,Chain-RFR-PI,3.0,
7,LR-AUTHORSHIP,0.9246031746031744,1.500739118835093,3.928571428571429,Chain-RFR-PI,3.0,
8,LR-AUTHORSHIP,0.9365079365079364,1.4566986561537782,3.9404761904761902,Chain-RFR-PI,3.0,
9,LR-AUTHORSHIP,0.9226190476190476,1.4316946548997629,3.892857142857143,Chain-RFR-PI,3.0,
10,LR-AUTHORSHIP,0.9352941176470588,1.4571523344412556,3.894117647058823,Chain-RFR-PI,3.0,
11,LR-AUTHORSHIP,0.9365079365079364,1.4655767113848088,3.9404761904761902,Chain-RFR-PI,3.0,
12,LR-AUTHORSHIP,0.8988095238095236,1.4833884767809435,3.892857142857143,Chain-RFR-PI,3.0,
13,LR-AUTHORSHIP,0.9166666666666664,1.443667691335051,3.9166666666666665,Chain-RFR-PI,3.0,
14,LR-AUTHORSHIP,0.9146825396825397,1.4344016427820472,3.880952380952381,Chain-RFR-PI,3.0,
15,LR-AUTHORSHIP,0.8948412698412698,1.4931744301637486,3.8333333333333335,Chain-RFR-PI,3.0,
16,LR-AUTHORSHIP,0.9226190476190476,1.4309507457069488,3.869047619047619,Chain-RFR-PI,3.0,
17,LR-AUTHORSHIP,0.9107142857142856,1.4343708080082973,3.9047619047619047,Chain-RFR-PI,3.0,
18,LR-AUTHORSHIP,0.9444444444444444,1.42068000471262,3.9047619047619047,Chain-RFR-PI,3.0,
19,LR-AUTHORSHIP,0.9444444444444444,1.4411996361242465,3.976190476190476,Chain-RFR-PI,3.0,
20,LR-AUTHORSHIP,0.9411764705882352,1.5398070333550982,3.929411764705882,Chain-RFR-PI,3.0,
21,LR-AUTHORSHIP,0.890873015873016,1.5207662466899,3.892857142857143,Chain-RFR-PI,3.0,
22,LR-AUTHORSHIP,0.9246031746031746,1.4694064870615704,3.976190476190476,Chain-RFR-PI,3.0,
23,LR-AUTHORSHIP,0.902777777777778,1.4122731247741978,3.9404761904761902,Chain-RFR-PI,3.0,
24,LR-AUTHORSHIP,0.8988095238095238,1.4213529779026015,3.9047619047619047,Chain-RFR-PI,3.0,
25,LR-AUTHORSHIP,0.9484126984126984,1.4400969082110209,3.976190476190476,Chain-RFR-PI,3.0,
26,LR-AUTHORSHIP,0.9464285714285714,1.428964246925438,3.880952380952381,Chain-RFR-PI,3.0,
27,LR-AUTHORSHIP,0.9047619047619048,1.4495476512725314,3.928571428571429,Chain-RFR-PI,3.0,
28,LR-AUTHORSHIP,0.9345238095238096,1.4601318334308102,3.9404761904761902,Chain-RFR-PI,3.0,
29,LR-AUTHORSHIP,0.8630952380952381,1.478064635190406,3.928571428571429,Chain-RFR-PI,3.0,
30,LR-AUTHORSHIP,0.9019607843137256,1.4286005715095498,3.894117647058823,Chain-RFR-PI,3.0,
31,LR-AUTHORSHIP,0.9365079365079364,1.4202425499842952,3.952380952380953,Chain-RFR-PI,3.0,
32,LR-AUTHORSHIP,0.9047619047619048,1.4298677904027473,3.952380952380953,Chain-RFR-PI,3.0,
33,LR-AUTHORSHIP,0.9146825396825398,1.4300670644321465,3.928571428571429,Chain-RFR-PI,3.0,
34,LR-AUTHORSHIP,0.9166666666666666,1.508256389666104,3.952380952380953,Chain-RFR-PI,3.0,
35,LR-AUTHORSHIP,0.9404761904761904,1.4877007286516069,3.892857142857143,Chain-RFR-PI,3.0,
36,LR-AUTHORSHIP,0.9226190476190474,1.4331351683299471,3.880952380952381,Chain-RFR-PI,3.0,
37,LR-AUTHORSHIP,0.9107142857142856,1.4534323896592185,3.9642857142857144,Chain-RFR-PI,3.0,
